label,category_id,source_locator
Canned meats,13,en:canned-meats
Cream sauces,13,en:cream-sauces
Curry sauces,13,en:curry-sauces
Pastas,14,en:pastas
Legumes,14,en:legumes
Cereals and their products,14,en:cereals-and-their-products
Soba,14,en:soba
Udon,14,en:udon
Penne,14,en:penne
Torti,14,en:torti
Groats,14,en:groats
Semiya,14,en:semiya
Fusilli,14,en:fusilli
Noodles,14,en:noodles
Spätzle,14,en:spatzle
Bucatini,14,en:bucatini
Linguine,14,en:linguine
Rigatoni,14,en:rigatoni
Capellini,14,en:capellini
Oat pasta,14,en:oat-pasta
Pie dough,14,en:pie-dough
Spaghetti,14,en:spaghetti
Conchiglie,14,en:conchiglie
Corn pasta,14,en:corn-pasta
Dry pastas,14,en:dry-pastas
Egg pastas,14,en:egg-pastas
Rice paper,14,en:rice-paper
Rice pasta,14,en:rice-pasta
Fresh pasta,14,en:fresh-pasta
Orecchiette,14,en:orecchiette
Tagliatelle,14,en:tagliatelle
Tortiglioni,14,en:tortiglioni
Brick sheets,14,en:brick-sheets
Cereal brans,14,en:cereal-brans
Cereal germs,14,en:cereal-germs
German pasta,14,en:german-pasta
Legume seeds,14,en:legume-seeds
Lentil pasta,14,en:lentil-pasta
Schupfnudeln,14,en:schupfnudeln
Cereal flours,14,en:cereal-flours
Cereal grains,14,en:cereal-grains
Cereal pastas,14,en:cereal-pastas
Cereal syrups,14,en:cereal-syrups
Chinese pasta,14,en:chinese-pasta
Fresh legumes,14,en:fresh-legumes
Italian pasta,14,en:italian-pasta
Lima bean raw,14,en:lima-bean-raw
Pancake mixes,14,en:pancake-mixes
Alphabet pasta,14,en:alphabet-pasta
Chickpea pasta,14,en:chickpea-pasta
Lasagna sheets,14,en:lasagna-sheets
Buckwheat pasta,14,en:buckwheat-pasta
Cereal starches,14,en:cereal-starches
Sugars,15,en:sugars
Dextrose,15,en:dextrose
Lump sugar,15,en:lump-sugar
Beet sugars,15,en:beet-sugars
Cane sugars,15,en:cane-sugars
Palm sugars,15,en:palm-sugars
Blond sugars,15,en:blond-sugars
Brown sugars,15,en:brown-sugars
Maple sugars,15,en:maple-sugars
White sugars,15,en:white-sugars
rock candies,15,en:rock-candies
Caster sugars,15,en:caster-sugars
Coconut sugar,15,en:coconut-sugar
Vanilla sugars,15,en:vanilla-sugars
Powdered sugars,15,en:powdered-sugars
Vanillin sugars,15,en:vanillin-sugars
granulated sugars,15,en:granulated-sugars
Cotton candy sugars,15,en:cotton-candy-sugars
Inverted sugar syrups,15,en:inverted-sugar-syrups
Panela,15,en:panela
Jaggery,15,en:jaggery
Muscovado,15,en:muscovado
Panela blocks,15,en:panela-blocks
Powdered panela,15,en:powdered-panela
Seitan,16,en:seitan
Tempeh,16,en:tempeh
Meat analogues,16,en:meat-analogues
Fried tofu,16,en:fried-tofu
Plain tofu,16,en:plain-tofu
Silken tofu,16,en:silken-tofu
Smoked tofu,16,en:smoked-tofu
Fish analogues,16,en:fish-analogues
Marinated tofu,16,en:marinated-tofu
Bacon substitutes,16,en:bacon-substitutes
Kefta substitutes,16,en:kefta-substitutes
Vegetarian grounds,16,en:vegetarian-grounds
Vegetarian nuggets,16,en:vegetarian-nuggets
Vegetarian sausages,16,en:vegetarian-sausages
Foie gras substitutes,16,en:foie-gras-substitutes
Frikandel substitutes,16,en:frikandel-substitutes
Fleischkäse substitutes,16,en:fleischkase-substitutes
Breaded fish substitutes,16,en:breaded-fish-substitutes
Vegetarian cordons bleus,16,en:vegetarian-cordons-bleus
Chicken kievs substitutes,16,en:chicken-kievs-substitutes
Breaded cutlets substitutes,16,en:breaded-cutlets-substitutes
Prepared meat cuts substitutes,16,en:prepared-meat-cuts-substitutes
Vegan nuggets,16,en:vegan-nuggets
Tuna analogues,16,en:tuna-analogues
Vegan sausages,16,en:vegan-sausages
Ham substitutes,16,en:ham-substitutes
Salmon analogues,16,en:salmon-analogues
Lyoner substitutes,16,en:lyoner-substitutes
Salami substitutes,16,en:salami-substitutes
Soy marinated tofu,16,en:soy-marinated-tofu
Herb marinated tofu,16,en:herb-marinated-tofu
Alder wood smoked tofu,16,en:alder-wood-smoked-tofu
Beech wood smoked tofu,16,en:beech-wood-smoked-tofu
Mortadella substitutes,16,en:mortadella-substitutes
Vegetarian Vienna sausages,16,en:vegetarian-vienna-sausages
Vegetarian hot dog sausages,16,en:vegetarian-hot-dog-sausages
Soy and ginger marinated tofu,16,en:soy-and-ginger-marinated-tofu
Vegetarian Frankfurt sausages,16,en:vegetarian-frankfurt-sausages
Vegan hot dog saucages,16,en:vegan-hot-dog-saucages
Meals,17,en:meals
Nems,17,en:nems
Soups,17,en:soups
Stews,17,en:stews
Khatfa,17,en:khatfa
Knödel,17,en:knodel
Pizzas,17,en:pizzas
Tajine,17,en:tajine
Aligots,17,en:aligots
Fajitas,17,en:fajitas
Gratins,17,en:gratins
Hotpots,17,en:hotpots
Quiches,17,en:quiches
Banh Bao,17,en:banh-bao
Focaccia,17,en:focaccia
Frittata,17,en:frittata
Moussaka,17,en:moussaka
Pad thai,17,en:pad-thai
Chop suey,17,en:chop-suey
Crescioni,17,en:crescioni
Tabbouleh,17,en:tabbouleh
Truffades,17,en:truffades
Waterzooi,17,en:waterzooi
Bami goreng,17,en:bami-goreng
Bean dishes,17,en:bean-dishes
Dried meals,17,en:dried-meals
Fresh meals,17,en:fresh-meals
Irish stews,17,en:irish-stews
Ratatouille,17,en:ratatouille
Rice dishes,17,en:rice-dishes
Salted pies,17,en:salted-pies
Filled pinsa,17,en:filled-pinsa
Pasta dishes,17,en:pasta-dishes
Spring rolls,17,en:spring-rolls
Bulgur dishes,17,en:bulgur-dishes
Lentil dishes,17,en:lentil-dishes
Pizza pockets,17,en:pizza-pockets
Potato dishes,17,en:potato-dishes
Quinoa dishes,17,en:quinoa-dishes
Sushi and Maki,17,en:sushi-and-maki
Cheese soufflés,17,en:cheese-souffles
Filled fritters,17,en:filled-fritters
Meals with fish,17,en:meals-with-fish
Meals with meat,17,en:meals-with-meat
Microwave meals,17,en:microwave-meals
Prepared salads,17,en:prepared-salads
Stuffed cabbage,17,en:stuffed-cabbage
Dal Baati Churma,17,en:dal-baati-churma
Endives with ham,17,en:endives-with-ham
Pan-fried dishes,17,en:pan-fried-dishes
Eggs and their products,18,en:eggs-and-their-products
Eggs,18,en:eggs
Fried egg,18,en:fried-egg
Poached eggs,18,en:poached-eggs
Scrambled egg,18,en:scrambled-egg
Cooked egg yolk,18,en:cooked-egg-yolk
Egg preparations,18,en:egg-preparations
Soft-boiled eggs,18,en:soft-boiled-eggs
Egg yolk,18,en:egg-yolk
Emu eggs,18,en:emu-eggs
Duck eggs,18,en:duck-eggs
Egg white,18,en:egg-white
Gull eggs,18,en:gull-eggs
Omelettes,18,en:omelettes
Egg powder,18,en:egg-powder
Fresh eggs,18,en:fresh-eggs
Goose eggs,18,en:goose-eggs
Quail eggs,18,en:quail-eggs
Boiled eggs,18,en:boiled-eggs
Century egg,18,en:century-egg
Scotch eggs,18,en:scotch-eggs
Turkey eggs,18,en:turkey-eggs
Chicken eggs,18,en:chicken-eggs
Ostrich eggs,18,en:ostrich-eggs
Pheasant eggs,18,en:pheasant-eggs
Guineafowl eggs,18,en:guineafowl-eggs
Hard-boiled egg,18,en:hard-boiled-egg
Cooked quail eggs,18,en:cooked-quail-eggs
Herb omelette,18,en:herb-omelette
Egg yolk powder,18,en:egg-yolk-powder
Egg white cooked,18,en:egg-white-cooked
Egg white powder,18,en:egg-white-powder
Barn chicken eggs,18,en:barn-chicken-eggs
Cage chicken eggs,18,en:cage-chicken-eggs
Omelette with lardoons,18,en:omelette-with-lardoons
Free-range chicken eggs,18,en:free-range-chicken-eggs
Omelette with mushrooms,18,en:omelette-with-mushrooms
Omelette with meat,18,en:omelette-with-meat
Omelettes with cheese,18,en:omelettes-with-cheese
Omelette with vegetables,18,en:omelette-with-vegetables
