rule_id,category_id,storage_type_id,min_days,max_days,source
1,3,1,1,2,FDA seafood storage guidance: https://www.fda.gov/food/buy-store-serve-safe-food/selecting-and-serving-fresh-and-frozen-seafood-safely
2,3,2,60,240,FoodSafety.gov cold chart: https://www.foodsafety.gov/food-safety-charts/cold-food-storage-charts
3,5,3,2,10,USDA FoodKeeper open data: https://catalog.data.gov/dataset/fsis-foodkeeper-data
4,5,1,2,21,USDA FoodKeeper open data: https://catalog.data.gov/dataset/fsis-foodkeeper-data
5,5,2,30,365,USDA FoodKeeper open data: https://catalog.data.gov/dataset/fsis-foodkeeper-data
6,6,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
7,7,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
8,8,2,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
9,9,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
10,11,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
11,12,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
12,13,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
13,14,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
14,15,3,0,0,APPLICATION_SENTINEL: package/OCR or user date; rule not queried
15,3,3,0,0,NOT_RECOMMENDED; FDA maximum 2 hours: https://www.fda.gov/food/buy-store-serve-safe-food/selecting-and-serving-fresh-and-frozen-seafood-safely
